,curr_longitude,prev_latitude,curr_latitude,prev_longitude
178,4.87713,52.3755,52.39487,4.9081600000000005
88,4.879007,52.38133,52.392511999999996,4.87326
299,4.876706,52.3916,52.394581,4.87822
42,4.855782,52.38812,52.390916,4.88007
79,4.879748,52.36803,52.389043,4.88679
298,4.872228,52.36376,52.381027,4.90296
51,4.850567,52.37374,52.394599,4.90638
189,4.874269,52.35059,52.386326,4.88895
206,4.872485,52.375235,52.375911,4.862388
282,4.888731,52.37429,52.390063,4.90473
279,4.883319,52.3878,52.390912,4.83705
80,4.8901769999999996,52.3765,52.389146,4.87284
280,4.870499,52.38984,52.382417,4.88853
273,4.869808,52.363758,52.386804,4.902915
249,4.869725,52.38356,52.384977,4.8701
298,4.869548,52.367072,52.385143,4.895488
111,4.877945,52.38024,52.391698,4.85511
69,4.85845,52.38505,52.39244,4.84569
71,4.8528,52.39244,52.38937,4.85845
70,4.84591,52.38937,52.38595,4.8528
359,4.870023,52.3639,52.38467,4.88659
1,4.878107,52.35303,52.395366,4.89281
409,4.87436,52.366037,52.386352,4.902058
108,4.88476,52.391698,52.390495,4.877945
397,4.874328,52.3886,52.38635,4.88584
352,4.891013,52.354205,52.389406,4.8880230000000005
437,4.891375,52.360838,52.389305,4.885834
16,4.87018,52.38126,52.383453,4.8555600000000005
0,4.870516,52.395366,52.383144,4.878107
368,4.88048,52.36082,52.389265,4.9068000000000005
302,4.875254,52.36592,52.384289,4.89001
8,4.874953,52.384831,52.384865,4.872031
282,4.874323,52.38248,52.386332,4.87078
210,4.8859829999999995,52.375911,52.390487,4.872485
375,4.869699,52.38792,52.384553,4.8807
421,4.850642,52.38779,52.39461,4.83801
21,4.876423,52.37433,52.383638,4.85488
14,4.874993,52.3742,52.374552,4.93531
286,4.865704,52.3637,52.386066,4.88623
360,4.878718,52.38929,52.390778,4.88049
396,4.850545,52.355263,52.394609,4.853936
314,4.876013,52.384601,52.383555,4.847025
315,4.875,52.39153,52.386072,4.87829
355,4.869781,52.38789,52.384642,4.8372
66,4.87385,52.34215,52.37805,4.89298
152,4.872055,52.35586,52.376633,4.87077
356,4.855801,52.39079,52.39093,4.87877
180,4.878505,52.354948,52.390785,4.898648
69,4.881615,52.37805,52.384553,4.87385
171,4.86942,52.37846,52.385157,4.84724
277,4.869368,52.394581,52.385189,4.876706
343,4.869715,52.36379,52.384591,4.89611
293,4.872777,52.384289,52.377804,4.875254
411,4.88406,52.37546,52.390059,4.9273
259,4.876363,52.39159,52.394414,4.87802
294,4.874437,52.34282,52.386289,4.90249
339,4.874396,52.37111,52.386278,4.89894
291,4.876897,52.37289,52.392005,4.94145
95,4.875066,52.37472,52.379186,4.873037
357,4.874072,52.36333,52.386385,4.88733
295,4.874392,52.389734,52.38632,4.891168
386,4.878011,52.36129,52.395164,4.88677
368,4.874384,52.37033,52.386316,4.9119
408,4.8797239999999995,52.36108,52.389081,4.90685
310,4.872847,52.36489,52.376526,4.9042200000000005
74,4.875826,52.394503,52.394453,4.872288
200,4.874932,52.39256,52.374325,4.87899
27,4.879347,52.353817,52.383235,4.886458
330,4.879949,52.3834,52.388608,4.87613
11,4.873596,52.36192,52.383797,4.91172
406,4.880431,52.39466,52.38813,4.85059
249,4.880068,52.38793,52.388147,4.83721
138,4.878111,52.36629,52.39158,4.88338
170,4.875055,52.36764,52.373808,4.91796
10,4.8972,52.38372,52.38118,4.87377
14,4.889,52.37453,52.38281,4.87501
29,4.89717,52.38324,52.381208,4.8793
57,4.897142,52.4012,52.381253,4.89235
94,4.89741,52.37919,52.381175,4.87515
138,4.897245,52.37662,52.381173,4.93716
140,4.88584,52.36572,52.38238,4.885
173,4.88228,52.38511,52.38049,4.8695
181,4.88567,52.366073,52.38095,4.883265
220,4.878772,52.35107,52.369084,4.85185
229,4.897282,52.404269,52.381214,4.887986
247,4.8871,52.35455,52.37251,4.89391
251,4.88248,52.34948,52.3663,4.90119
277,4.886183,52.39095,52.375474,4.8834
292,4.8959600000000005,52.38632,52.38156,4.874392
330,4.89006,52.37187,52.3769,4.9004
359,4.88284,52.38785,52.38049,4.8373
360,4.897249,52.3826,52.381186,4.87096
361,4.89156,52.38467,52.37943,4.870023
364,4.8833,52.39089,52.37856,4.8559
402,4.89212,52.38639,52.37905,4.87432
412,4.897169,52.38813,52.381255,4.880431
420,4.897162,52.384118,52.381253,4.855868
409,4.889315,52.3891,52.372054,4.87964
251,4.897167,52.36852,52.381182,4.92659
107,4.889483,52.37192,52.374951,4.9
284,4.89735,52.375474,52.381169,4.886183
240,4.880248,52.38486,52.371346,4.8696
12,4.8874759999999995,52.366058,52.379926,4.880069
292,4.876164,52.3861,52.373103,4.8657
222,4.881224,52.39254,52.365747999999996,4.87909
408,4.890065,52.36662,52.374277,4.88882
36,4.891634,52.378325,52.37773,4.882824
377,4.882407,52.3669,52.376479,4.92645
225,4.895876,52.36567,52.369954,4.88127
227,4.883281,52.369084,52.378477,4.878772
387,4.8870190000000004,52.37616,52.378676,4.8867
319,4.891339,52.351483,52.376101,4.906807
376,4.879467,52.394577,52.365348,4.850555
179,4.878502,52.35739,52.37282,4.90182
160,4.887432,52.3572,52.379908,4.89286
186,4.894413,52.38037,52.378871,4.88231
396,4.897186,52.378649,52.381243,4.88702
194,4.891897,52.39073,52.379796,4.87859
302,4.894147,52.3551,52.371802,4.99568
12,4.897407,52.38001,52.381163,4.88747
321,4.876377,52.38115,52.371995,4.87241
430,4.880706,52.388452,52.376407,4.84014
303,4.897332,52.39147,52.381151,4.8792
326,4.88263,52.363757,52.370575,4.896048
154,4.89357,52.3766,52.378799,4.87202
310,4.8944600000000005,52.38005,52.379316,4.8937
247,4.8900369999999995,52.3717,52.370573,4.90772
317,4.885357,52.37057,52.373616,4.88275
312,4.880796,52.3769,52.365646,4.89006
286,4.876567,52.356,52.372273,4.89341
14,4.882722,52.40117,52.366604,4.892403
308,4.879585,52.379316,52.371088,4.8944600000000005
118,4.890424,52.37349,52.374411,4.87352
269,4.882696,52.345997,52.366606,4.899549
338,4.885607,52.34782,52.375328,4.89684
61,4.890816,52.374912,52.37223,4.860306
299,4.881348,52.35714,52.374452,4.89566
304,4.893889,52.372273,52.378979,4.876567
386,4.883257,52.38263,52.374178,4.87093
207,4.893189,52.35249,52.376235,4.89114
1,4.890543,52.38326,52.37202,4.87031
254,4.880969,52.381182,52.380902,4.897167
419,4.888889,52.36667,52.37181,4.89179
138,4.882428,52.371534,52.370167,4.908037
362,4.882659,52.38453,52.373342,4.86975
312,4.888371,52.37106,52.370064,4.8796800000000005
262,4.8880230000000005,52.34855,52.372571,4.9053700000000005
316,4.888645,52.388581,52.372039,4.879971
30,4.882549,52.381208,52.370157,4.89717
251,4.882576,52.370555,52.370403,4.890043
319,4.894289,52.372039,52.378798,4.888645
109,4.885705,52.38122,52.383058,4.897244
372,4.893653,52.3732,52.380091,4.88288
173,4.883304,52.39485,52.38442,4.87708
314,4.882691,52.3819,52.367384,4.85535
0,4.882927,52.39507,52.373768,4.87796
21,4.888455,52.366152,52.373045,4.901617
360,4.889205,52.36822,52.368654,4.9426
361,4.890042,52.38937,52.387976,4.891
324,4.889324,52.378798,52.374441,4.894289
163,4.88946,52.378785,52.374277,4.893696
176,4.889278,52.38437,52.368548,4.88328
261,4.87667,52.380902,52.370455,4.880969
409,4.891273,52.379,52.377287,4.89205
110,4.878918,52.3905,52.366543,4.8848
0,4.8860589999999995,52.372,52.3738,4.890610000000001
122,4.887733,52.37459,52.377569,4.89034
442,4.878972,52.36354,52.37307,4.9106000000000005
257,4.894247,52.370455,52.377473,4.87667
213,4.898365,52.390487,52.370615,4.8859829999999995
246,4.887324,52.38211,52.38061,4.85569
68,4.880718,52.384553,52.365789,4.881615
280,4.883874,52.38634,52.384892,4.87428
118,4.889606,52.377569,52.376889,4.887733
72,4.880723,52.369,52.369631,4.90777
80,4.891271,52.38913,52.375239,4.89025
293,4.879329,52.38515,52.377606,4.8694
379,4.890131,52.37999,52.381953,4.8936
90,4.893774,52.38635,52.371616,4.8743300000000005
71,4.879598,52.365823,52.365236,4.880576
111,4.885146,52.3548,52.382734,4.8688
331,4.878531,52.36564,52.366559,4.8809000000000005
359,4.894645,52.3612,52.376751,4.90731
348,4.89899,52.386278,52.37127,4.874396
58,4.8947140000000005,52.37994,52.368127,4.85564
223,4.894481,52.36213,52.378974,4.89212
414,4.879717,52.39004,52.376967,4.8840900000000005
420,4.892447,52.37732,52.377668,4.89125
431,4.881177,52.376967,52.380726,4.879717
110,4.8820879999999995,52.36659,52.378271,4.8787400000000005
274,4.878522,52.37275,52.369028,4.88849
36,4.894097,52.357703,52.378633,4.852512
308,4.889792,52.37799,52.370397,4.87272
310,4.879403,52.354232,52.367779,4.891798
154,4.882247,52.384892,52.37702,4.9032029999999995
329,4.8886,52.37433,52.380244,4.88948
210,4.878799,52.386326,52.366538,4.874269
164,4.894373,52.37425,52.378791,4.88968
358,4.878925,52.38459,52.372926,4.86974
100,4.88705,52.381175,52.3811,4.89741
412,4.88795,52.374759,52.368804,4.857955
371,4.87865,52.372048,52.368264,4.900017
33,4.886972,52.36332,52.373275,4.919447
243,4.883799,52.380573,52.381136,4.887365
54,4.884715,52.36682,52.383578,4.90455
107,4.888706,52.38313,52.371961,4.88568
387,4.883592,52.38123,52.381103,4.8972
106,4.897242,52.37814,52.381158,4.882198
416,4.883175,52.366984,52.373883,4.888357
111,4.89093,52.381158,52.376612,4.897242
150,4.880638,52.36431,52.365728,4.9056
283,4.894424,52.377654,52.37886,4.879376
387,4.882191,52.374178,52.376483,4.883257
322,4.897286,52.38606,52.381252,4.87495
292,4.901087,52.38511,52.374245,4.86957
216,4.885221,52.37899,52.373502,4.8945
60,4.876459,52.36815,52.372193,4.89509
178,4.897266,52.37979,52.38117,4.8918800000000005
